ID,ID,Address,Latitude,Longitude,SalePrice,IsAStudio,Beds,Baths,Size,SizeUnit,LotSize,LotSizeUnit,BuiltInYear,YearOfSale,MonthOfSale,DayOfSale,WeekDayOfSale
110,15081273,"2801 Jackson St # 12, San Francisco, CA",37791415,-122441445,1.42,False,2.0,1.0,1330.0,sqft,,,1906.0,2015,12,24,<built-in method weekday of Timestamp object at 0x10997ee50>
111,15081334,"2947 Jackson St, San Francisco, CA",37791050,-122443590,1.87,False,3.0,2.0,2100.0,sqft,,,1939.0,2015,11,30,<built-in method weekday of Timestamp object at 0x10997edd0>
112,15081395,"3100 Washington St #6, San Francisco, CA",37790530,-122444565,0.825,False,1.0,1.0,808.0,sqft,,,1964.0,2015,12,22,<built-in method weekday of Timestamp object at 0x10997ed50>
113,15081736,"3515 Washington St, San Francisco, CA",37789217,-122450906,3.8,False,2.0,3.0,2760.0,sqft,4464.0,sqft,1941.0,2015,12,2,<built-in method weekday of Timestamp object at 0x10997ecd0>
114,15081960,"2921 Washington St APT 5, San Francisco, CA",37790535,-122441409,1.0,False,1.0,1.0,1070.0,sqft,,,1916.0,2015,11,23,<built-in method weekday of Timestamp object at 0x10997ec50>
115,15082108,"3016 Sacramento St, San Francisco, CA",37788970,-122442995,1.85,False,2.0,1.5,1408.0,sqft,,,1890.0,2015,12,22,<built-in method weekday of Timestamp object at 0x10997ebd0>
116,15082200,"333 Presidio Ave APT 4, San Francisco, CA",37788551,-122447336,0.738,False,1.0,1.0,770.0,sqft,,,1907.0,2015,12,9,<built-in method weekday of Timestamp object at 0x10997eb50>
117,15082795,"25-29 Parker Ave #27, San Francisco, CA",37785632,-122455073,1.07,False,2.0,2.0,1092.0,sqft,,,1909.0,2015,11,19,<built-in method weekday of Timestamp object at 0x10997ead0>
118,15083161,"1825 Scott St, San Francisco, CA",37786681,-122438711,32.7,False,,1.0,1100.0,sqft,1694.0,sqft,1900.0,2015,11,23,<built-in method weekday of Timestamp object at 0x10997ea50>
119,15084143,"270 Ewing Ter, San Francisco, CA",37779676,-122449096,1.57,False,2.0,1.0,1250.0,sqft,2178.0,sqft,1940.0,2015,11,20,<built-in method weekday of Timestamp object at 0x10997e9d0>
120,15084385,"1213 Scott St, San Francisco, CA",37781300,-122437649,1.5,False,3.0,1.5,1439.0,sqft,,,1900.0,2015,11,25,<built-in method weekday of Timestamp object at 0x10997e950>
121,15084557,"26 Rossi Ave, San Francisco, CA",37779640,-122456218,0.259,False,7.0,3.0,4361.0,sqft,3428.0,sqft,1941.0,2015,12,31,<built-in method weekday of Timestamp object at 0x10997e8d0>
122,15084949,"1912 Golden Gate Ave, San Francisco, CA",37778500,-122442563,1.77,False,3.0,2.0,1154.0,sqft,3436.0,sqft,1900.0,2015,11,16,<built-in method weekday of Timestamp object at 0x10997e850>
123,15084954,"1954 Golden Gate Ave, San Francisco, CA",37778420,-122443073,1.1,False,2.0,1.0,1515.0,sqft,,,1895.0,2015,11,24,<built-in method weekday of Timestamp object at 0x10997e7d0>
